id,ra_deg,dec_deg,mag,pm_ra_mas_yr,pm_dec_mas_yr,common_name
3849,12.356474,-13.561017,5.590,103.34,-105.83,
3858,12.389324,-23.362109,6.270,-12.25,-14.18,
3865,12.405228,47.763989,6.660,-50.62,-25.29,
3881,12.453457,41.078955,4.530,22.68,-18.05,
3885,12.471287,27.710311,5.550,86.54,-10.20,
3889,12.478920,-0.224117,6.640,24.14,-8.64,
3901,12.509362,70.774175,6.900,17.82,-3.89,
3903,12.515651,-43.394945,6.490,13.43,9.70,
3909,12.532185,-10.643770,5.170,-224.67,-228.44,
3919,12.575890,45.002241,6.130,60.72,6.93,
3949,12.671367,-50.986924,5.240,62.99,44.67,
3951,12.681552,64.247581,5.350,29.39,-12.85,
3961,12.718478,-71.151526,6.860,-12.77,38.31,
3964,12.733513,77.953560,6.760,75.17,-13.73,
3965,12.738609,51.508034,6.380,137.97,-0.49,
3979,12.794560,-5.038989,6.980,262.27,-119.18,
3988,12.818273,61.805498,6.040,-2.03,-1.87,
3992,12.826296,3.385175,6.390,22.13,-63.64,
3995,12.832853,-9.405565,6.890,-23.24,9.08,
4006,12.858042,63.781171,6.870,-1.37,-0.93,
4023,12.890796,51.571453,6.220,-3.20,-10.96,
4025,12.895153,12.784824,6.700,85.20,-21.95,
4049,12.967273,-43.709038,6.890,30.29,3.36,
4058,12.987887,33.890033,6.870,-2.39,-21.59,
4084,13.102139,-69.503596,6.670,3.81,-68.87,
4104,13.169171,-24.005926,5.470,37.32,33.58,
4127,13.215928,40.245442,6.760,-91.08,52.37,
4129,13.222334,38.548856,6.700,26.31,-10.15,
4147,13.252044,-1.144221,4.780,6.49,-16.29,
4151,13.267831,61.123557,4.800,-68.45,169.72,
4164,13.301640,-24.776973,6.440,104.49,39.95,
4185,13.367563,37.418317,6.070,11.25,-44.41,
